source_page,catalogue_ref,section,year,remarks,price_f,price_vf,price_xf,price_unc,rarity,mint,metal,weight,size,shape,issue_price,market_value,denomination,mintage
,UK-1P-2024,CHARLES III - ONE PENNY,2024,Hazel Dormouse (Flora and Fauna),,,,,R,Royal Mint,,,,,,,1 Penny,0
,UK-1P-2023,CHARLES III - ONE PENNY,2023,Hazel Dormouse (Flora and Fauna),,,,,S,Royal Mint,,,,,,,1 Penny,600000
,UK-1P-2022,ELIZABETH II - ONE PENNY,2022,,,,,,C,Royal Mint,,,,,,,1 Penny,30000000
,UK-1P-2021,ELIZABETH II - ONE PENNY,2021,,,,,,C,Royal Mint,,,,,,,1 Penny,56000000
,UK-1P-2020,ELIZABETH II - ONE PENNY,2020,,,,,,C,Royal Mint,,,,,,,1 Penny,88071910
,UK-1P-2019,ELIZABETH II - ONE PENNY,2019,,,,,,R,Royal Mint,,,,,,,1 Penny,0
,UK-1P-2018,ELIZABETH II - ONE PENNY,2018,,,,,,R,Royal Mint,,,,,,,1 Penny,0
,UK-1P-2017,ELIZABETH II - ONE PENNY,2017,,,,,,C,Royal Mint,,,,,,,1 Penny,240990600
,UK-1P-2016,ELIZABETH II - ONE PENNY,2016,,,,,,C,Royal Mint,,,,,,,1 Penny,368482000
,UK-1P-2015-4,ELIZABETH II - ONE PENNY,2015,4th Portrait,,,,,C,Royal Mint,,,,,,,1 Penny,154600000
,UK-1P-2015-5,ELIZABETH II - ONE PENNY,2015,5th Portrait,,,,,C,Royal Mint,,,,,,,1 Penny,418201016
,UK-1P-2014,ELIZABETH II - ONE PENNY,2014,,,,,,C,Royal Mint,,,,,,,1 Penny,464801520
,UK-1P-2013,ELIZABETH II - ONE PENNY,2013,,,,,,C,Royal Mint,,,,,,,1 Penny,260800000
,UK-1P-2012,ELIZABETH II - ONE PENNY,2012,,,,,,C,Royal Mint,,,,,,,1 Penny,227201000
,UK-1P-2011,ELIZABETH II - ONE PENNY,2011,,,,,,C,Royal Mint,,,,,,,1 Penny,431004000
,UK-1P-2010,ELIZABETH II - ONE PENNY,2010,,,,,,C,Royal Mint,,,,,,,1 Penny,609603000
,UK-1P-2009,ELIZABETH II - ONE PENNY,2009,,,,,,C,Royal Mint,,,,,,,1 Penny,556412800
,UK-1P-2008-I,ELIZABETH II - ONE PENNY,2008,Ironside,,,,,C,Royal Mint,,,,,,,1 Penny,180600000
,UK-1P-2008-D,ELIZABETH II - ONE PENNY,2008,Dent,,,,,C,Royal Mint,,,,,,,1 Penny,507952000
,UK-1P-2007,ELIZABETH II - ONE PENNY,2007,,,,,,C,Royal Mint,,,,,,,1 Penny,548002000
,UK-1P-2006,ELIZABETH II - ONE PENNY,2006,,,,,,C,Royal Mint,,,,,,,1 Penny,524605000
,UK-1P-2005,ELIZABETH II - ONE PENNY,2005,,,,,,C,Royal Mint,,,,,,,1 Penny,536318000
,UK-1P-2004,ELIZABETH II - ONE PENNY,2004,,,,,,C,Royal Mint,,,,,,,1 Penny,739764000
,UK-1P-2003,ELIZABETH II - ONE PENNY,2003,,,,,,C,Royal Mint,,,,,,,1 Penny,539436000
